Category,Item,Meaning,How to sign
Occupations,Social Worker,A person engaged in social work.,1. Sign SOCIAL: Dominant 'S' hand circles forward. 2. Sign WORK: Dominant wrist taps the non-dominant wrist twice. 3. Sign AGENT ('person').
Occupations,Librarian,A person who works in a library.,1. Sign LIBRARY: Dominant 'L' handshape moves in a clockwise circle. 2. Sign AGENT ('person'): both flat hands move straight down parallel.
Places/Locations,Home,"The place where one lives permanently, especially as a member of a family or household.","1. Use the dominant hand in the ""flat O"" handshape (fingertips touching thumb). 2. Touch the handshape on the cheek near the mouth. 3. Touch the handshape on the cheek again, slightly away from the first spot."
Places/Locations,School,An institution for educating children; any institution at which instruction is given in a particular discipline.,1. Use the dominant flat hand (palm down) above the non-dominant palm-up flat hand. 2. Tap the dominant palm twice on the non-dominant palm.
Places/Locations,Park,A large area of recreational land reserved for public use.,1. Fingerspell the word P-A-R-K. (Alternatively: Dominant 'P' hand over non-dominant flat palm).
Places/Locations,Store,a retail establishment selling items to the public; a shop.,"1. Use both hands in the ""flat O"" handshape, palms down. 2. Simultaneously rotate both hands forward twice at the wrists."
Places/Locations,Restaurant,A place where people pay to sit and eat meals that are cooked and served on the premises.,"1. Use the dominant hand in the 'R' handshape. 2. Place the hand in front of the non-dominant side of the mouth. 3. Brush the hand down, then brush it down again on the other side of the mouth."
Places/Locations,Hospital,An institution providing medical and surgical treatment and nursing care for sick or injured people.,1. Use the dominant hand in the 'H' handshape (index and middle fingers extended). 2. Draw a cross shape on the opposite shoulder.
Places/Locations,Library,a place where books and other literary materials are kept for lending or reading.,"1. Use the dominant hand in the 'L' handshape, palm facing out. 2. Hold the hand in dominant-sided space. 3. Move the hand in a circular motion clockwise twice."
Places/Locations,Office,a workplace where professional or clerical duties are performed.,1. Use the dominant 'O' handshape (palm in) positioned ahead of the non-dominant 'O' handshape (palm in). 2. Tilt both hands back horizontally together.
Places/Locations,Beach,"shore of a sea, lake or ocean.",1. Use the dominant horizontal '5' hand (palm down) on top of the non-dominant palm-down '5' hand. 2. Slide the dominant hand outward twice while wiggling its fingers.
Places/Locations,Mall,"shopping mall, shopping center.",1. Fingerspell the word M-A-L-L.
Reptiles,Snake,"A long, legless reptile that moves by gliding on its belly.",1. Use the dominant hand in the 'bent V' handshape (middle and index bent). 2. Move the hand forward in a serpentine (wiggling) motion.
Reptiles,Lizard,"A reptile typically having a long body, four legs, and a tapering tail.",1. Use the dominant hand in the 'L' handshape. 2. Move the hand in a crawling motion up the non-dominant forearm.
Reptiles,Turtle,A slow-moving reptile encased in a shell.,"1. Use the non-dominant hand as a 'dome' (shell). 2. Use the dominant 'A' hand (head/neck). 3. Tuck the 'A' hand under the dome, then move it forward and out."
Reptiles,Crocodile,A large predatory semiaquatic reptile with a long jaw and powerful tail.,"1. Use both hands in the '5' handshape, held flat and stacked at the wrist. 2. Open and close the hands like a large jaw."
Reptiles,Alligator,"A large reptile with a shorter, blunter snout than a crocodile.",1. Same sign as Crocodile.
School/Office Supplies,Pencils,An implement for writing or drawing with graphite.,1. Use the dominant hand in the 'P' handshape (index and middle fingers extended). 2. Do a writting gesture in air
School/Office Supplies,Pens,An implement for writing or drawing with ink.,1. Use the dominant hand to do the handwritting gesture
School/Office Supplies,Notebooks,A book of blank paper for writing notes.,"1. Make the letter 'N' Handshape
2. Simulate the opening of a notebook using the 'N' Handshape"
School/Office Supplies,Folders,A folding cover used to hold loose papers.,"1. Make the letter 'F' Handshape
2. Simulate the opening of a folder using the 'F' Handshape"
School/Office Supplies,Chalk,"A soft, porous limestone used for writing or drawing.","1. Use the dominant 'X' handshape (as a piece of chalk). 
2. Do the writting gesture in air"
School/Office Supplies,Erasers,A piece of soft rubber or plastic used to remove marks.,"1. Use the dominant 'E' handshape. 
2. Move/Rub the dominant hand across the non-dominant flat palm, simulating erasing."
School/Office Supplies,Rulers,A straight strip of material used for drawing straight lines or measuring.,"1. Use the dominant 'R' handshape 
2. Touch back forearm of the non-dominant hand.
3. Slide the dominant 'R' hadshape to simulate measuring."
School/Office Supplies,Glue sticks,A solid adhesive in a twist-up tube.,"1. Use '3' and '5' finger and create a pinching gesture on both hands to simulate glue/sticky
2. On both hands use '4' and '5' finger and create a visulization of a stick."
School/Office Supplies,Scissors,A cutting instrument consisting of two pivoted blades.,"1. Use the dominant hand in the 'V' handshape, palm facing out. 2. Open and close the fingers like scissors cutting in the air."
School/Office Supplies,Backpack,"A bag with shoulder straps, carried on the back.","1. Use the dominant hand to touch your shoulder
2. Make a curved using the non-dominant hand from the dominant hand to elbow to  create a letter 'B'
3. Do the wearing backpack gesture."
School/Office Supplies,Lunch box,A container used to hold a packed lunch.,1. Sign LUNCH: Dominant 'L' hand on the chin. 2. Sign BOX: Two 'B' hands form a square.
School/Office Supplies,Water bottle,A container used to hold water for drinking.,1. Sign WATER ('W' hand on chin). 2. Sign BOTTLE: Dominant 'C' hand moves up from the non-dominant palm.
Technology/Electronics,Tablet,"A flat, portable computer with a touchscreen.",1. Use both flat hands. 2. Trace the shape of a tablet in the air.
Technology/Electronics,Laptop,"A small, portable computer.",1. Use the dominant hand in the 'V' handshape. 2. Tap the hand down on the non-dominant arm (simulating closing a laptop).
Technology/Electronics,Phone,A mobile phone.,1. Use the dominant hand in the 'Y' handshape (thumb and pinky extended). 2. Place the thumb near the ear (simulating holding a phone).
Technology/Electronics,Computer,An electronic device for processing data.,1. Use the dominant hand in the 'C' handshape. 2. Start the hand near the head and move to tap the non-dominant elbow.
Technology/Electronics,Television,An electronic device with a screen for viewing programs.,1. Fingerspell T-V.
Technology/Electronics,Telephone,A landline phone.,1. Use the dominant hand in the 'Y' handshape (thumb and pinky extended). 2. Place the thumb near the ear.
Technology/Electronics,Radio,Apparatus used for broadcasting or receiving sound.,1. Use the dominant hand in the 'S' handshape (fist) near the ear. 2. Twist the wrist (simulating tuning a radio dial).
